"","X","COUNTY","alpha","gamma"
"1",1,"Dillingham, Alaska",0.800352770352773,0.423484000156106
"2",2,"Haines, Alaska",0.554083303631587,0.544488308898076
"3",3,"Ketchikan, Alaska",0.516485446128944,0.532095025755274
"4",4,"Sitka, Alaska",0.524893176376043,0.521222042300586
"5",5,"Petersburg, Alaska",0.697344445458308,0.489800179837118
"6",6,"Prince, Alaska",0.673281129811124,0.53433197825674
"7",7,"Hoonah, Alaska",0.475361273436267,0.647863125162847
"8",8,"Nome, Alaska",0.773054123191142,0.439428681672546
"9",9,"North, Alaska",0.807489721970568,0.340665386106432
"10",10,"Yukon, Alaska",0.948723636445465,0.387067535453557
"11",11,"Valdez, Alaska",0.766254178556091,0.421425018544555
"12",12,"Matanuska, Alaska",0.640521866970285,0.429248997748104
"13",13,"Kodiak, Alaska",0.584503196859317,0.409582574897189
"14",14,"Fairbanks, Alaska",0.552952179975929,0.480119286559962
"15",15,"Northwest, Alaska",0.777127711006073,0.375347655212522
"16",16,"Aleutians, Alaska",0.687947549709397,0.291789692080157
"17",17,"Anchorage, Alaska",0.514829865972895,0.533473249578265
"18",18,"Wrangell, Alaska",0.677927938442202,0.476588924606049
"19",19,"Kenai, Alaska",0.67112319289682,0.477843011042409
"20",20,"Bethel, Alaska",0.76744004324058,0.412601215267614
"21",21,"Juneau, Alaska",0.535870999537788,0.429522428650208
"22",22,"Southeast, Alaska",0.786620218313688,0.307202211878844
"23",23,"Tallapoosa County, Alabama",0.662719425434335,0.578295523653341
"24",24,"Shelby County, Alabama",0.523079451368217,0.550876974916935
"25",25,"Lauderdale County, Alabama",0.660925514472137,0.563951823547286
"26",26,"Cherokee County, Alabama",0.714400867486035,0.532098426490847
"27",27,"Hale County, Alabama",0.925517676411632,0.444996613544108
"28",28,"Pickens County, Alabama",0.898498464177529,0.506724135628777
"29",29,"Etowah County, Alabama",0.644374060248957,0.541627693301787
"30",30,"Sumter County, Alabama",0.978078053576961,0.5465058118282
"31",31,"Escambia County, Alabama",0.719692462355655,0.547233564305951
"32",32,"Franklin County, Alabama",0.622824358614322,0.535610365736653
"33",33,"Houston County, Alabama",0.641901819964697,0.596372800952759
"34",34,"Chilton County, Alabama",0.746427234689103,0.447440830400819
"35",35,"Colbert County, Alabama",0.667264730465672,0.538991985664461
"36",36,"Randolph County, Alabama",0.742394355265133,0.519867970913012
"37",37,"Tuscaloosa County, Alabama",0.675643104168377,0.570962339642982
"38",38,"Lamar County, Alabama",0.775750088696045,0.444595844868777
"39",39,"Washington County, Alabama",0.637403268937854,0.500575039614939
"40",40,"Dale County, Alabama",0.833105174124157,0.439675603389874
"41",41,"Coosa County, Alabama",0.682857671082203,0.512563520950424
"42",42,"Russell County, Alabama",0.757143950003299,0.461126282605887
"43",43,"Macon County, Alabama",0.914618557821431,0.494043901215218
"44",44,"Marengo County, Alabama",0.993129429471287,0.536483023025713
"45",45,"Lee County, Alabama",0.860952873625845,0.546707874500063
"46",46,"Calhoun County, Alabama",0.730541861348437,0.500935686992642
"47",47,"Marion County, Alabama",0.753453339588195,0.531361365451777
"48",48,"Winston County, Alabama",0.674377083157993,0.551328228902017
"49",49,"Mobile County, Alabama",0.669671662743374,0.581752951790972
"50",50,"Covington County, Alabama",0.689835476627039,0.550486966426835
"51",51,"Geneva County, Alabama",0.695706979868778,0.515129197093347
"52",52,"St Clair County, Alabama",0.696899117952999,0.431074794198816
"53",53,"Montgomery County, Alabama",0.714544979873715,0.5917539356069
"54",54,"Baldwin County, Alabama",0.623509605150467,0.554291344987936
"55",55,"Chambers County, Alabama",0.743639968746898,0.464109679873391
"56",56,"Talladega County, Alabama",0.76802077845514,0.501156433716362
"57",57,"Greene County, Alabama",0.858542379316158,0.523060417555444
"58",58,"Choctaw County, Alabama",0.957086522370844,0.485619301305066
"59",59,"Elmore County, Alabama",0.652322416348669,0.433244738571322
"60",60,"Pike County, Alabama",0.820850017773349,0.573256552655339
"61",61,"Lowndes County, Alabama",0.987569569455704,0.486579538279757
"62",62,"Blount County, Alabama",0.607789756722035,0.483768217670197
"63",63,"Perry County, Alabama",1.0495785020292,0.433012248977199
"64",64,"Coffee County, Alabama",0.735969765905098,0.496977658558151
"65",65,"Autauga County, Alabama",0.690595562528178,0.411903452238769
"66",66,"Clay County, Alabama",0.69412149474975,0.488309851660618
"67",67,"Jefferson County, Alabama",0.668361944979792,0.64379063055219
"68",68,"Monroe County, Alabama",1.13955841689604,0.496074790768706
"69",69,"Dallas County, Alabama",0.951880023279784,0.569396943197105
"70",70,"Barbour County, Alabama",0.730164840178357,0.573551407953076
"71",71,"Crenshaw County, Alabama",0.786051579645122,0.495077356609477
"72",72,"Butler County, Alabama",0.714649179708759,0.543149216479315
"73",73,"Lawrence County, Alabama",0.777599424586264,0.443750007759777
"74",74,"Madison County, Alabama",0.745206925053532,0.51225463992968
"75",75,"Limestone County, Alabama",0.767496598845933,0.47564306919436
"76",76,"Wilcox County, Alabama",1.12933577958146,0.470237353381754
"77",77,"Bibb County, Alabama",0.536351036774876,0.533866705122726
"78",78,"Cleburne County, Alabama",0.781216101405191,0.448532847082707
"79",79,"Cullman County, Alabama",0.653788862210738,0.548789728200294
"80",80,"Walker County, Alabama",0.576519171312968,0.615963769327919
"81",81,"Fayette County, Alabama",0.863365642319761,0.454516727662353
"82",82,"Conecuh County, Alabama",0.823055815825867,0.560436443612136
"83",83,"Henry County, Alabama",0.800111699316159,0.49804600139104
"84",84,"Jackson County, Alabama",0.681072051935559,0.520442951341258
"85",85,"Marshall County, Alabama",0.672400096952668,0.541746077127109
"86",86,"Morgan County, Alabama",0.674321079936852,0.5107848119659
"87",87,"DeKalb County, Alabama",0.65703006170109,0.515036387075729
"88",88,"Bullock County, Alabama",0.837667174181668,0.485622861788562
"89",89,"Clarke County, Alabama",1.00500178622683,0.549423415509261
"90",90,"Desha County, Arkansas",0.850636568452855,0.539501116907585
"91",91,"Calhoun County, Arkansas",0.769019495951769,0.496823471564644
"92",92,"Greene County, Arkansas",0.623939640695996,0.528159222326719
"93",93,"Lonoke County, Arkansas",0.606123808182052,0.436987776929063
"94",94,"Van Buren County, Arkansas",0.805439230855585,0.485202552176637
"95",95,"Little River County, Arkansas",0.729431336115243,0.451479292820486
"96",96,"Arkansas County, Arkansas",0.585189668724427,0.607249009603702
"97",97,"Marion County, Arkansas",0.655792749159612,0.490735503430645
"98",98,"Randolph County, Arkansas",0.639310262646036,0.552085388362776
"99",99,"Fulton County, Arkansas",0.624099374619085,0.50870119694437
"100",100,"Cross County, Arkansas",0.695459876549875,0.507814312750669
"101",101,"Columbia County, Arkansas",0.822440118663191,0.58549467304367
"102",102,"Izard County, Arkansas",0.723453847280651,0.510314025458642
"103",103,"Cleburne County, Arkansas",0.547456941957255,0.572030438744818
"104",104,"Newton County, Arkansas",0.705589569020545,0.52495321914916
"105",105,"Pope County, Arkansas",0.626072066796439,0.539429906119266
"106",106,"Woodruff County, Arkansas",0.796489567878991,0.573738527615501
"107",107,"Faulkner County, Arkansas",0.668936440867516,0.494115560855629
"108",108,"Benton County, Arkansas",0.360489868188668,0.729985780108534
"109",109,"Union County, Arkansas",0.59698129277192,0.636750090325945
"110",110,"Jefferson County, Arkansas",0.829438071794949,0.492028769386635
"111",111,"Yell County, Arkansas",0.643593110876985,0.518749569731882
"112",112,"Howard County, Arkansas",0.719155564839258,0.508526232990552
"113",113,"Logan County, Arkansas",0.661546722847258,0.517137871832596
"114",114,"St Francis County, Arkansas",0.723427860307414,0.52549604923374
"115",115,"Ouachita County, Arkansas",0.799076009421964,0.530311653982861
"116",116,"Clay County, Arkansas",0.653690546819809,0.552102364147992
"117",117,"Lawrence County, Arkansas",0.666376839287788,0.522648543908554
"118",118,"Searcy County, Arkansas",0.718377929304153,0.542565720616366
"119",119,"Hempstead County, Arkansas",0.777661392332294,0.461206913386812
"120",120,"Grant County, Arkansas",0.65562541937082,0.45196022505287
"121",121,"Sevier County, Arkansas",0.646458637632631,0.467834292209874
"122",122,"Independence County, Arkansas",0.545255649277386,0.602241446174632
"123",123,"Johnson County, Arkansas",0.669024231256,0.512311489276771
"124",124,"Clark County, Arkansas",0.845583336845129,0.493343497967971
"125",125,"Perry County, Arkansas",0.676372240493344,0.45868424828686
"126",126,"Ashley County, Arkansas",0.657136930857183,0.571007415027714
"127",127,"Crawford County, Arkansas",0.612616656592958,0.490988278772256
"128",128,"Lafayette County, Arkansas",0.820572490887151,0.521198399670113
"129",129,"Polk County, Arkansas",0.619847612266433,0.530979427491818
"130",130,"Monroe County, Arkansas",0.888263833217794,0.529882798825761
"131",131,"Lee County, Arkansas",0.734540444915151,0.663320064787604
"132",132,"Cleveland County, Arkansas",0.693656777047374,0.487244256195449
"133",133,"Poinsett County, Arkansas",0.657170368615518,0.539491690627715
"134",134,"White County, Arkansas",0.70826641880261,0.522498721395231
"135",135,"Dallas County, Arkansas",0.638332703532621,0.508031498184741
"136",136,"Saline County, Arkansas",0.564242781569949,0.430924060152084
"137",137,"Sebastian County, Arkansas",0.605147079451861,0.617969400641369
"138",138,"Boone County, Arkansas",0.585780284431199,0.548013781281172
"139",139,"Lincoln County, Arkansas",0.876750237756083,0.481822620988674
"140",140,"Chicot County, Arkansas",0.882089698784662,0.573960500330614
"141",141,"Garland County, Arkansas",0.669479564173988,0.578920742399407
"142",142,"Pike County, Arkansas",0.687605778644065,0.498710647604716
"143",143,"Madison County, Arkansas",0.656774463963549,0.497229377909787
"144",144,"Sharp County, Arkansas",0.586332707616687,0.509837397635245
"145",145,"Franklin County, Arkansas",0.701225104388066,0.52239001964794
"146",146,"Baxter County, Arkansas",0.494415591821656,0.578566506872668
"147",147,"Bradley County, Arkansas",0.74831053774165,0.565125205286882
"148",148,"Phillips County, Arkansas",0.739937478804027,0.593395900420211
"149",149,"Stone County, Arkansas",0.63570439225621,0.530377031074204
"150",150,"Hot Spring County, Arkansas",0.736019435033348,0.460936953764006
"151",151,"Crittenden County, Arkansas",0.753249052325167,0.514710199904183
"152",152,"Mississippi County, Arkansas",0.828469528021148,0.533021371052792
"153",153,"Drew County, Arkansas",0.826645319422673,0.593576182386635
"154",154,"Prairie County, Arkansas",0.727344863736894,0.533321023224299
"155",155,"Nevada County, Arkansas",0.76917025097611,0.467474396038071
"156",156,"Miller County, Arkansas",0.629462161833804,0.56062269622237
"157",157,"Pulaski County, Arkansas",0.633244759773266,0.630624541926089
"158",158,"Craighead County, Arkansas",0.645993541806574,0.580866173705814
"159",159,"Jackson County, Arkansas",0.742697484057275,0.547185080321425
"160",160,"Washington County, Arkansas",0.682651353944571,0.595438193157734
"161",161,"Carroll County, Arkansas",0.559956092524767,0.51672546146291
"162",162,"Conway County, Arkansas",0.720209265451067,0.546486956941822
"163",163,"Yuma County, Arizona",0.587469253712889,0.558019814664965
"164",164,"Pinal County, Arizona",0.620467922082081,0.495634479962572
"165",165,"La Paz County, Arizona",0.503867855265489,0.598782799137994
"166",166,"Maricopa County, Arizona",0.586203916039224,0.615678704238722
"167",167,"Graham County, Arizona",0.71137105135335,0.491695093405412
"168",168,"Pima County, Arizona",0.660396757740552,0.581355085287158
"169",169,"Coconino County, Arizona",0.711328621636005,0.568161561690424
"170",170,"Santa Cruz County, Arizona",0.723763991430572,0.574756233076282
"171",171,"Yavapai County, Arizona",0.532729871056902,0.589254254790677
"172",172,"Mohave County, Arizona",0.563188008158306,0.564543484352672
"173",173,"Gila County, Arizona",0.635681204531098,0.540831900254816
"174",174,"Greenlee County, Arizona",0.643348133618123,0.395461025043803
"175",175,"Cochise County, Arizona",0.789265684326357,0.495172453643976
"176",176,"Navajo County, Arizona",0.881025938891057,0.490107459176269
"177",177,"Apache County, Arizona",1.01152188950461,0.443347636564924
"178",178,"Marin County, California",0.608629014617066,0.733970169173095
"179",179,"Amador County, California",0.633196950295207,0.521802911670822
"180",180,"Fresno County, California",0.656710500132469,0.590742974661113
"181",181,"Santa Cruz County, California",0.670877742790414,0.612803220007727
"182",182,"Sonoma County, California",0.504646000485468,0.596934853662979
"183",183,"Lassen County, California",0.759448176929111,0.448466972743289
"184",184,"Mono County, California",0.3483646942781,0.58457356105594
"185",185,"Alameda County, California",0.714711179781631,0.573748675265914
"186",186,"San Joaquin County, California",0.683438291207056,0.521370305090998
"187",187,"Solano County, California",0.676192353296755,0.457315240675685
"188",188,"Trinity County, California",0.618268643934929,0.623864928610661
"189",189,"Siskiyou County, California",0.636455750636041,0.573656345683114
"190",190,"Butte County, California",0.718392208606404,0.568330631975828
"191",191,"Calaveras County, California",0.665534861717702,0.546504485390233
"192",192,"Stanislaus County, California",0.614864854441438,0.550637874873294
"193",193,"Del Norte County, California",0.77564065442634,0.536074090840804
"194",194,"San Bernardino County, California",0.689330112613182,0.501646735218212
"195",195,"Placer County, California",0.610842032254407,0.545862766265609
"196",196,"Yuba County, California",0.661097387354026,0.468933708452671
"197",197,"Sutter County, California",0.625914026426502,0.534983379911325
"198",198,"San Luis Obispo County, California",0.579149014930508,0.618152827360574
"199",199,"Plumas County, California",0.687048009168177,0.544211846258591
"200",200,"Napa County, California",0.513549538772275,0.654346043921527
"201",201,"Inyo County, California",0.632175841322065,0.507450743431033
"202",202,"Tuolumne County, California",0.627925782764517,0.528078820818625
"203",203,"San Diego County, California",0.617757263078992,0.610673588207552
"204",204,"Mariposa County, California",0.540648728790633,0.493088425994043
"205",205,"Sacramento County, California",0.705908683784574,0.523701679510456
"206",206,"San Benito County, California",0.591492179562871,0.489536733104575
"207",207,"Humboldt County, California",0.641674996699638,0.565550291868836
"208",208,"Tulare County, California",0.631940217376475,0.575534400066742
"209",209,"Modoc County, California",0.706404940072811,0.569380143254147
"210",210,"Santa Clara County, California",0.536834012042741,0.692820324529906
"211",211,"San Francisco County, California",0.699539694759034,0.735546661437428
"212",212,"Nevada County, California",0.568157049970558,0.579538894394906
"213",213,"Ventura County, California",0.548512849078607,0.594262675651819
"214",214,"Shasta County, California",0.642316336739132,0.567066321915572
"215",215,"Sierra County, California",0.741134218565898,0.536741440153265
"216",216,"Riverside County, California",0.663743729495359,0.5185521383113
"217",217,"Lake County, California",0.740809642685009,0.546329882770509
"218",218,"Glenn County, California",0.724001666950097,0.564095046374035
"219",219,"Merced County, California",0.636209030425645,0.545048144011623
"220",220,"Kern County, California",0.629517043235496,0.570625871473302
"221",221,"Imperial County, California",0.798203815643769,0.504748038902852
"222",222,"Kings County, California",0.629996273301768,0.537215669378787
"223",223,"Colusa County, California",0.440812526298974,0.588374130372356
"224",224,"Orange County, California",0.55100330552194,0.643416655896025
"225",225,"San Mateo County, California",0.468877821020485,0.742543732578907
"226",226,"El Dorado County, California",0.623573937475863,0.603650497649431
"227",227,"Yolo County, California",0.794888879552938,0.563214637813709
"228",228,"Mendocino County, California",0.677489197900559,0.569435096502704
"229",229,"Los Angeles County, California",0.589931125139641,0.688392344014083
"230",230,"Monterey County, California",0.512346293986284,0.60361179754751
"231",231,"Madera County, California",0.634516492675638,0.546127851846279
"232",232,"Tehama County, California",0.594668517586223,0.56968527066836
"233",233,"Santa Barbara County, California",0.563428791767491,0.659919944327744
"234",234,"Contra Costa County, California",0.600915893682371,0.624461447323168
"235",235,"Otero County, Colorado",0.829083500853824,0.506349557574722
"236",236,"La Plata County, Colorado",0.523800083577435,0.586606854602482
"237",237,"Costilla County, Colorado",0.816147195085995,0.526679920526922
"238",238,"Routt County, Colorado",0.460563610194588,0.674958962530409
"239",239,"Ouray County, Colorado",0.464538243227132,0.579890002901259
"240",240,"Delta County, Colorado",0.69883333933576,0.494514033048944
"241",241,"Dolores County, Colorado",0.905492865696428,0.44437437448607
"242",242,"Yuma County, Colorado",0.476227016952123,0.594157819447484
"243",243,"Cheyenne County, Colorado",0.402071413689712,0.642556053312241
"244",244,"Bent County, Colorado",0.617204389184745,0.580424865093602
"245",245,"San Miguel County, Colorado",0.437183114815073,0.747610700499569
"246",246,"Conejos County, Colorado",0.858932533186312,0.477199953038203
"247",247,"Kit Carson County, Colorado",0.447455081933555,0.637773658642856
"248",248,"Las Animas County, Colorado",0.704784362593261,0.480089592905203
"249",249,"Archuleta County, Colorado",0.467048029013629,0.626013986192911
"250",250,"Montrose County, Colorado",0.586915763236431,0.528827566912871
"251",251,"Baca County, Colorado",0.608080912595026,0.601359782381558
"252",252,"Rio Grande County, Colorado",0.628047647187877,0.527393989545247
"253",253,"Alamosa County, Colorado",0.916046077369828,0.527507564457844
"254",254,"Chaffee County, Colorado",0.529741385361515,0.535482869567712
"255",255,"Grand County, Colorado",0.457164866513927,0.546404689869303
"256",256,"El Paso County, Colorado",0.631920213154394,0.509490152315737
"257",257,"Custer County, Colorado",0.269392589521449,0.825742373575326
"258",258,"Montezuma County, Colorado",0.584218996916406,0.543566035228606
"259",259,"Denver County, Colorado",0.628786759705755,0.67065971592814
"260",260,"Gilpin County, Colorado",0.583191736129721,0.503323473661417
"261",261,"Lincoln County, Colorado",0.764630150089848,0.471111539889945
