"","V1","V2"
"result.1","ORTEGA","4"
"result.2","ORTEGA","4"
"result.3","ORTEGA","4"
"result.4","ORTEGA","4"
"result.5","ORTEGA","4"
"result.6","ORTEGA","4"
"result.7","ORTEGA","4"
"result.8","ORTEGA","4"
"result.9","ORTEGA","4"
"result.10","ORTEGA","4"
"result.11","ORTEGA","4"
"result.12","ORTEGA","4"
"result.13","ORTEGA","4"
"result.14","ORTEGA","4"
"result.15","ORTEGA","4"
"result.16","ORTEGA","4"
"result.17","ORTEGA","4"
"result.18","ORTEGA","4"
"result.19","ORTEGA","4"
"result.20","ORTEGA","4"
"result.21","ORTEGA","4"
"result.22","ORTEGA","4"
"result.23","ORTEGA","4"
"result.24","ORTEGA","4"
"result.25","ORTEGA","4"
"result.26","ORTEGA","4"
"result.27","ORTEGA","4"
"result.28","ORTEGA","4"
"result.29","ORTEGA","4"
"result.30","ORTEGA","4"
"result.31","ORTEGA","4"
"result.32","ORTEGA","4"
"result.33","ORTEGA","4"
"result.34","ORTEGA","4"
"result.35","ORTEGA","4"
"result.36","ORTEGA","4"
"result.37","ORTEGA","4"
"result.38","ORTEGA","4"
"result.39","ORTEGA","4"
"result.40","ORTEGA","4"
"result.41","ORTEGA","4"
"result.42","ORTEGA","4"
"result.43","ORTEGA","4"
"result.44","ORTEGA","4"
"result.45","ORTEGA","4"
"result.46","ORTEGA","4"
"result.47","ORTEGA","4"
"result.48","ORTEGA","4"
"result.49","ORTEGA","4"
"result.50","ORTEGA","4"
"result.51","ORTEGA","4"
"result.52","ORTEGA","4"
"result.53","ORTEGA","4"
"result.54","ORTEGA","4"
"result.55","ORTEGA","4"
"result.56","ORTEGA","4"
"result.57","ORTEGA","4"
"result.58","ORTEGA","4"
"result.59","ORTEGA","4"
"result.60","ORTEGA","4"
"result.61","ORTEGA","4"
"result.62","ORTEGA","4"
"result.63","ORTEGA","4"
"result.64","ORTEGA","4"
"result.65","ORTEGA","4"
"result.66","ORTEGA","4"
"result.67","ORTEGA","4"
"result.68","ORTEGA","4"
"result.69","ORTEGA","4"
"result.70","ORTEGA","4"
"result.71","ORTEGA","4"
"result.72","ORTEGA","4"
"result.73","ORTEGA","4"
"result.74","ORTEGA","4"
"result.75","ORTEGA","4"
"result.76","ORTEGA","4"
"result.77","ORTEGA","4"
"result.78","ORTEGA","4"
"result.79","ORTEGA","4"
"result.80","ORTEGA","4"
"result.81","GB2","4"
"result.82","ORTEGA","4"
"result.83","ORTEGA","4"
"result.84","ORTEGA","4"
"result.85","ORTEGA","4"
"result.86","ORTEGA","4"
"result.87","ORTEGA","4"
"result.88","ORTEGA","4"
"result.89","ORTEGA","4"
"result.90","ORTEGA","4"
"result.91","ORTEGA","4"
"result.92","ORTEGA","4"
"result.93","ORTEGA","4"
"result.94","ORTEGA","4"
"result.95","ORTEGA","4"
"result.96","ORTEGA","4"
"result.97","ORTEGA","4"
"result.98","ORTEGA","4"
"result.99","ORTEGA","4"
"result.100","ORTEGA","4"
"result.101","ORTEGA","4"
"result.102","ORTEGA","4"
"result.103","ORTEGA","4"
"result.104","ORTEGA","4"
"result.105","ORTEGA","4"
"result.106","ORTEGA","4"
"result.107","ORTEGA","4"
"result.108","ORTEGA","4"
"result.109","ORTEGA","4"
"result.110","ORTEGA","4"
"result.111","ORTEGA","4"
"result.112","ORTEGA","4"
"result.113","ORTEGA","4"
"result.114","ORTEGA","4"
"result.115","ORTEGA","4"
"result.116","ORTEGA","4"
"result.117","ORTEGA","4"
"result.118","ORTEGA","4"
"result.119","ORTEGA","4"
"result.120","ORTEGA","4"
"result.121","ORTEGA","4"
"result.122","ORTEGA","4"
