"","COUNTY","alpha","gamma","Gini"
"1","Abbeville County, South Carolina",0.725029096238826,0.500275856143046,0.492262514873532
"2","Acadia Parish, Louisiana",0.749968682497486,0.539651206407832,0.521784177075974
"3","Accomack County, Virginia",0.747786047526501,0.517584254358666,0.506974553964412
"4","Ada County, Idaho",0.561488588328362,0.581527848239605,0.522522236316717
"5","Adair County, Iowa",0.598663452194138,0.461771052480915,0.445634562581089
"6","Adair County, Kentucky",0.816129836432842,0.517714654706577,0.5175501100384
"7","Adair County, Missouri",0.91464652501422,0.578494753521382,0.570512729704786
"8","Adair County, Oklahoma",0.703542521167756,0.505435308926965,0.49202065200478
"9","Adams County, Colorado",0.603033901625602,0.442256019032918,0.434374887223227
"10","Adams County, Idaho",0.538749071376233,0.527404470573552,0.478579116324624
"11","Adams County, Illinois",0.537959031994924,0.570212254250873,0.51002542179669
"12","Adams County, Indiana",0.513256313578221,0.544374028061895,0.486371612920053
"13","Adams County, Iowa",0.468498585421844,0.513785359123964,0.455750586575837
"14","Adams County, Mississippi",0.797751347186418,0.613420987563521,0.580259940007898
"15","Adams County, Nebraska",0.492860816027761,0.55904534320417,0.49381214619672
"16","Adams County, North Dakota",0.617986754346719,0.460425206420543,0.448440868202411
"17","Adams County, Ohio",0.87805602247668,0.474455669935201,0.501038450956491
"18","Adams County, Pennsylvania",0.498116496144681,0.498340390192353,0.450546672572731
"19","Adams County, Washington",0.607984395752893,0.480532132857632,0.459331910785464
"20","Adams County, Wisconsin",0.501997191477982,0.478430435397391,0.437686753297972
"21","Addison County, Vermont",0.57585512042431,0.493214050947319,0.461739015517294
"22","Aiken County, South Carolina",0.718388351958683,0.519036713305359,0.503258302778185
"23","Aitkin County, Minnesota",0.578312734484699,0.529730483345996,0.487198256489313
"24","Alachua County, Florida",0.85744011238052,0.611408632066218,0.586248367143488
"25","Alamance County, North Carolina",0.682493356306801,0.521187877963436,0.498876763346816
"26","Alameda County, California",0.714711179781631,0.573748675265914,0.540103175101281
"27","Alamosa County, Colorado",0.916046077369828,0.527507564457844,0.538026794389309
"28","Albany County, New York",0.573909978038486,0.62337979589802,0.557630634789318
"29","Albany County, Wyoming",0.805540523465958,0.563731901535613,0.546066661944622
"30","Albemarle County, Virginia",0.589807582070925,0.654913757085711,0.586271190731292
"31","Alcona County, Michigan",0.602356365426718,0.505606677383888,0.474821522590891
"32","Alcorn County, Mississippi",0.603533150460145,0.57698206536522,0.525707264170139
"33","Aleutians, Alaska",0.687947549709397,0.291789692080157,0.370896044769612
"34","Alexander County, Illinois",0.861667109190618,0.489003560688892,0.506973693666363
"35","Alexander County, North Carolina",0.609717869765113,0.533795938386234,0.49541498789024
"36","Alexandria city, Virginia",0.539997667842702,0.583352353034762,0.520483317209314
"37","Alfalfa County, Oklahoma",0.41388979512089,0.674959271338212,0.580021895735683
"38","Alger County, Michigan",0.616166406682891,0.476216415020362,0.458064464160664
"39","Allamakee County, Iowa",0.600656280659463,0.445904622422276,0.436147628275716
"40","Allegan County, Michigan",0.480262078188749,0.568675461424227,0.499046664256326
"41","Allegany County, Maryland",0.750085358535848,0.503884496784835,0.498605921170189
"42","Allegany County, New York",0.413289533372139,0.530788041120179,0.457582119119154
"43","Alleghany County, North Carolina",0.533935394758813,0.613980609473525,0.543990691954428
"44","Alleghany County, Virginia",0.79641045887035,0.436723047728052,0.466463735014138
"45","Allegheny County, Pennsylvania",0.623961932120792,0.626529320884061,0.567296329373934
"46","Allen County, Indiana",0.509685163718107,0.594981952969028,0.524781490969131
"47","Allen County, Kansas",0.612064338776866,0.551368236758481,0.50825892017968
"48","Allen County, Kentucky",0.731066230439344,0.50082788100901,0.493599596513463
