"","sname","cname","County","COUNTY","modified_NAME_E","orig_NAME_E","sab","sid","sfips","saint","cfips","fips"
"1","Alabama","autauga county","Autauga, AL","Autauga County","Autauga County, Alabama","Autauga County, Alabama","AL",1,1,0,1,1001
"2","Alabama","baldwin county","Baldwin, AL","Baldwin County","Baldwin County, Alabama","Baldwin County, Alabama","AL",1,1,0,3,1003
"3","Alabama","barbour county","Barbour, AL","Barbour County","Barbour County, Alabama","Barbour County, Alabama","AL",1,1,0,5,1005
"4","Alabama","bibb county","Bibb, AL","Bibb County","Bibb County, Alabama","Bibb County, Alabama","AL",1,1,0,7,1007
"5","Alabama","blount county","Blount, AL","Blount County","Blount County, Alabama","Blount County, Alabama","AL",1,1,0,9,1009
"6","Alabama","bullock county","Bullock, AL","Bullock County","Bullock County, Alabama","Bullock County, Alabama","AL",1,1,0,11,1011
"7","Alabama","butler county","Butler, AL","Butler County","Butler County, Alabama","Butler County, Alabama","AL",1,1,0,13,1013
"8","Alabama","calhoun county","Calhoun, AL","Calhoun County","Calhoun County, Alabama","Calhoun County, Alabama","AL",1,1,0,15,1015
"9","Alabama","chambers county","Chambers, AL","Chambers County","Chambers County, Alabama","Chambers County, Alabama","AL",1,1,0,17,1017
"10","Alabama","cherokee county","Cherokee, AL","Cherokee County","Cherokee County, Alabama","Cherokee County, Alabama","AL",1,1,0,19,1019
"11","Alabama","chilton county","Chilton, AL","Chilton County","Chilton County, Alabama","Chilton County, Alabama","AL",1,1,0,21,1021
"12","Alabama","choctaw county","Choctaw, AL","Choctaw County","Choctaw County, Alabama","Choctaw County, Alabama","AL",1,1,0,23,1023
"13","Alabama","clarke county","Clarke, AL","Clarke County","Clarke County, Alabama","Clarke County, Alabama","AL",1,1,0,25,1025
"14","Alabama","clay county","Clay, AL","Clay County","Clay County, Alabama","Clay County, Alabama","AL",1,1,0,27,1027
"15","Alabama","cleburne county","Cleburne, AL","Cleburne County","Cleburne County, Alabama","Cleburne County, Alabama","AL",1,1,0,29,1029
"16","Alabama","coffee county","Coffee, AL","Coffee County","Coffee County, Alabama","Coffee County, Alabama","AL",1,1,0,31,1031
"17","Alabama","colbert county","Colbert, AL","Colbert County","Colbert County, Alabama","Colbert County, Alabama","AL",1,1,0,33,1033
"18","Alabama","conecuh county","Conecuh, AL","Conecuh County","Conecuh County, Alabama","Conecuh County, Alabama","AL",1,1,0,35,1035
"19","Alabama","coosa county","Coosa, AL","Coosa County","Coosa County, Alabama","Coosa County, Alabama","AL",1,1,0,37,1037
"20","Alabama","covington county","Covington, AL","Covington County","Covington County, Alabama","Covington County, Alabama","AL",1,1,0,39,1039
"21","Alabama","crenshaw county","Crenshaw, AL","Crenshaw County","Crenshaw County, Alabama","Crenshaw County, Alabama","AL",1,1,0,41,1041
"22","Alabama","cullman county","Cullman, AL","Cullman County","Cullman County, Alabama","Cullman County, Alabama","AL",1,1,0,43,1043
"23","Alabama","dale county","Dale, AL","Dale County","Dale County, Alabama","Dale County, Alabama","AL",1,1,0,45,1045
"24","Alabama","dallas county","Dallas, AL","Dallas County","Dallas County, Alabama","Dallas County, Alabama","AL",1,1,0,47,1047
"25","Alabama","dekalb county","De Kalb, AL","DeKalb County","DeKalb County, Alabama","DeKalb County, Alabama","AL",1,1,0,49,1049
"26","Alabama","elmore county","Elmore, AL","Elmore County","Elmore County, Alabama","Elmore County, Alabama","AL",1,1,0,51,1051
"27","Alabama","escambia county","Escambia, AL","Escambia County","Escambia County, Alabama","Escambia County, Alabama","AL",1,1,0,53,1053
"28","Alabama","etowah county","Etowah, AL","Etowah County","Etowah County, Alabama","Etowah County, Alabama","AL",1,1,0,55,1055
"29","Alabama","fayette county","Fayette, AL","Fayette County","Fayette County, Alabama","Fayette County, Alabama","AL",1,1,0,57,1057
"30","Alabama","franklin county","Franklin, AL","Franklin County","Franklin County, Alabama","Franklin County, Alabama","AL",1,1,0,59,1059
"31","Alabama","geneva county","Geneva, AL","Geneva County","Geneva County, Alabama","Geneva County, Alabama","AL",1,1,0,61,1061
"32","Alabama","greene county","Greene, AL","Greene County","Greene County, Alabama","Greene County, Alabama","AL",1,1,0,63,1063
"33","Alabama","hale county","Hale, AL","Hale County","Hale County, Alabama","Hale County, Alabama","AL",1,1,0,65,1065
"34","Alabama","henry county","Henry, AL","Henry County","Henry County, Alabama","Henry County, Alabama","AL",1,1,0,67,1067
"35","Alabama","houston county","Houston, AL","Houston County","Houston County, Alabama","Houston County, Alabama","AL",1,1,0,69,1069
"36","Alabama","jackson county","Jackson, AL","Jackson County","Jackson County, Alabama","Jackson County, Alabama","AL",1,1,0,71,1071
"37","Alabama","jefferson county","Jefferson, AL","Jefferson County","Jefferson County, Alabama","Jefferson County, Alabama","AL",1,1,0,73,1073
"38","Alabama","lamar county","Lamar, AL","Lamar County","Lamar County, Alabama","Lamar County, Alabama","AL",1,1,0,75,1075
"39","Alabama","lauderdale county","Lauderdale, AL","Lauderdale County","Lauderdale County, Alabama","Lauderdale County, Alabama","AL",1,1,0,77,1077
"40","Alabama","lawrence county","Lawrence, AL","Lawrence County","Lawrence County, Alabama","Lawrence County, Alabama","AL",1,1,0,79,1079
"41","Alabama","lee county","Lee, AL","Lee County","Lee County, Alabama","Lee County, Alabama","AL",1,1,0,81,1081
"42","Alabama","limestone county","Limestone, AL","Limestone County","Limestone County, Alabama","Limestone County, Alabama","AL",1,1,0,83,1083
"43","Alabama","lowndes county","Lowndes, AL","Lowndes County","Lowndes County, Alabama","Lowndes County, Alabama","AL",1,1,0,85,1085
"44","Alabama","macon county","Macon, AL","Macon County","Macon County, Alabama","Macon County, Alabama","AL",1,1,0,87,1087
"45","Alabama","madison county","Madison, AL","Madison County","Madison County, Alabama","Madison County, Alabama","AL",1,1,0,89,1089
"46","Alabama","marengo county","Marengo, AL","Marengo County","Marengo County, Alabama","Marengo County, Alabama","AL",1,1,0,91,1091
"47","Alabama","marion county","Marion, AL","Marion County","Marion County, Alabama","Marion County, Alabama","AL",1,1,0,93,1093
"48","Alabama","marshall county","Marshall, AL","Marshall County","Marshall County, Alabama","Marshall County, Alabama","AL",1,1,0,95,1095
"49","Alabama","mobile county","Mobile, AL","Mobile County","Mobile County, Alabama","Mobile County, Alabama","AL",1,1,0,97,1097
"50","Alabama","monroe county","Monroe, AL","Monroe County","Monroe County, Alabama","Monroe County, Alabama","AL",1,1,0,99,1099
"51","Alabama","montgomery county","Montgomery, AL","Montgomery County","Montgomery County, Alabama","Montgomery County, Alabama","AL",1,1,0,101,1101
"52","Alabama","morgan county","Morgan, AL","Morgan County","Morgan County, Alabama","Morgan County, Alabama","AL",1,1,0,103,1103
"53","Alabama","perry county","Perry, AL","Perry County","Perry County, Alabama","Perry County, Alabama","AL",1,1,0,105,1105
"54","Alabama","pickens county","Pickens, AL","Pickens County","Pickens County, Alabama","Pickens County, Alabama","AL",1,1,0,107,1107
"55","Alabama","pike county","Pike, AL","Pike County","Pike County, Alabama","Pike County, Alabama","AL",1,1,0,109,1109
"56","Alabama","randolph county","Randolph, AL","Randolph County","Randolph County, Alabama","Randolph County, Alabama","AL",1,1,0,111,1111
"57","Alabama","russell county","Russell, AL","Russell County","Russell County, Alabama","Russell County, Alabama","AL",1,1,0,113,1113
