Rank (by top 1% share of all income);County;Bottom 90%;90th–<95th percentiles;95th–<99th percentiles;Top 1% (99th–100th percentiles)
1;Teton, WY;15.7;4.5;9.6;70.2
2;La Salle, TX;26.7;5.6;11.7;55.9
3;Shackelford, TX;25.9;7.5;12.5;54.2
4;New York, NY;19.1;9.3;17.7;53.9
5;Custer, CO;31.7;10.2;11.4;46.7
6;Fairfield, CT;27.2;10.8;19.3;42.7
7;Franklin, FL;29.4;11.6;16.4;42.6
8;Collier, FL;27.6;10.7;19.1;42.5
9;Pitkin, CO;32.2;9.5;17.3;41.0
10;San Juan, WA;31.6;10.2;17.3;41.0
11;De Witt, TX;33.0;9.9;17.7;39.5
12;Indian River, FL;30.7;11.2;19.1;39.1
13;Palm Beach, FL;31.5;11.1;18.8;38.6
14;Karnes, TX;33.5;10.4;18.3;37.8
15;Monroe, FL;34.8;10.2;17.9;37.1
16;Westchester, NY;33.4;11.6;19.7;35.2
17;Wheeler, TX;39.7;9.7;16.1;34.6
18;Suffolk, MA;38.0;10.7;17.3;34.0
19;Martin, FL;34.8;11.7;19.7;33.9
20;Union, SD;43.7;8.5;15.2;32.7
21;Throckmorton, TX;36.4;12.4;19.3;31.9
22;San Miguel, CO;40.2;10.3;17.7;31.8
23;Douglas, NV;39.2;11.6;17.5;31.8
24;Walton, FL;36.1;12.4;19.9;31.6
25;Midland, TX;42.7;9.6;16.5;31.2
26;Miami-Dade, FL;39.4;11.5;17.9;31.2
27;Essex, NJ;36.8;12.1;19.9;31.2
28;Echols, GA;38.7;13.4;16.9;31.0
29;San Mateo, CA;39.5;11.1;18.6;30.8
30;Benton, AR;45.6;8.8;15.4;30.2
31;San Francisco, CA;39.8;11.4;18.8;30.1
32;Castro, TX;44.6;10.6;14.9;29.9
33;Sarasota, FL;37.9;13.0;19.9;29.2
34;Richmond City, VA;41.5;11.4;17.9;29.2
35;Marin, CA;38.3;12.5;20.1;29.2
36;Tom Green, TX;46.2;11.1;13.6;29.1
37;Clark, NV;42.9;13.0;15.0;29.1
38;Carroll, NH;45.8;10.8;14.5;28.9
39;Summit, UT;41.8;11.1;18.3;28.9
40;Hemphill, TX;43.4;10.7;17.6;28.3
41;Gonzales, TX;44.5;10.2;17.1;28.2
42;East Carroll, LA;43.6;11.8;16.8;27.7
43;Blaine, ID;43.2;11.1;18.2;27.5
44;Dallas, TX;44.7;10.8;17.0;27.5
45;Fulton, GA;39.2;13.0;20.5;27.4
46;Park, WY;48.4;9.8;14.6;27.3
47;Washakie, WY;49.6;11.7;11.5;27.3
48;Goochland, VA;43.2;11.4;18.4;27.1
49;Charlottesville City, VA;42.5;12.0;18.5;27.1
50;Live Oak, TX;45.8;10.9;16.3;27.0
51;Norfolk, MA;42.4;11.9;19.0;26.7
52;Harris, TX;45.2;11.2;17.6;26.1
53;Dimmit, TX;49.3;11.0;13.7;26.0
54;Lake, IL;43.3;11.9;18.9;26.0
55;Saratoga, NY;49.9;9.0;15.2;25.9
56;Red River, LA;47.4;11.8;14.9;25.9
57;Victoria, TX;49.2;11.1;14.0;25.7
58;Garza, TX;49.4;10.9;14.3;25.5
59;Washoe, NV;43.1;13.2;18.4;25.4
60;Ochiltree, TX;48.6;10.1;16.0;25.3
61;Lee, FL;42.6;12.8;19.2;25.3
62;Mckenzie, ND;50.2;9.2;15.4;25.2
63;Roseau, MN;51.6;10.8;12.4;25.1
64;Rappahannock, VA;45.9;11.3;17.9;25.0
65;Hartley, TX;45.8;11.5;17.9;24.7
66;Logan, CO;49.4;13.3;12.6;24.7
67;Ozaukee, WI;46.9;10.9;17.5;24.6
68;Santa Clara, CA;44.2;12.2;19.0;24.6
69;Los Angeles, CA;45.7;12.1;17.7;24.6
70;Orleans, LA;44.4;11.9;19.0;24.6
71;Monroe, OH;43.4;11.9;20.3;24.4
72;St Johns, FL;44.0;12.4;19.2;24.3
73;Sublette, WY;53.0;8.5;14.3;24.1
74;Lipscomb, TX;51.2;9.4;15.4;24.1
