"","County","Bottom.90.","X90th..95th.percentiles","X95th..99th.percentiles","Top.1...99th.100th.percentiles.","Income.threshold.of.top.1.","NAME_E","STATE","COUNTY","AD4AE001","AD4AE002","AD4AE003","AD4AE004","AD4AE005","AD4AE006","AD4AM001","AD4AM002","AD4AM003","AD4AM004","AD4AM005","AD4AM006","ADNJE001","ADNJE002","ADNJE003","ADNJE004","ADNJE005","ADNJE006","ADNJE007","ADNJE008","ADNJE009","ADNJE010","ADNJE011","ADNJE012","ADNJE013","ADNJE014","ADNJE015","ADNJE016","ADNJE017","ADNKE001","ADNLE001"
"1","Dillingham, AK",67.3,11.3,13.6,7.7,269097,"Dillingham, Alaska","Alaska","Dillingham",3.63,9.23,15.5,24.13,47.5,17.92,0.38,0.74,0.7,0.98,1.85,1.75,1349,95,59,88,76,66,49,68,59,50,148,138,136,115,71,87,44,54173,94257900
"2","Haines, AK",58,13.1,16.7,12.2,275443,"Haines, Alaska","Alaska","Haines",4.81,9.72,15.74,23.73,46,16.95,1.11,1.36,2.37,1.79,4.52,2.51,1176,52,26,60,18,65,101,65,78,58,90,120,150,120,52,42,79,58750,89523600
"3","Ketchikan Gateway, AK",62.5,11.2,13.1,13.3,360438,"Ketchikan, Alaska","Alaska","Ketchikan",4.42,10.01,16.09,24.2,45.28,17.49,0.36,0.55,0.76,0.73,1.82,1.71,5267,165,238,174,245,243,237,307,198,234,475,474,771,610,302,326,268,64222,422298200
"4","Sitka, AK",62.4,11.3,13.4,12.8,347147,"Sitka, Alaska","Alaska","Sitka",4.14,11.34,17.24,24.23,43.05,16.19,0.63,0.7,0.78,0.7,1.69,1.43,3472,192,106,115,100,130,113,125,84,175,218,490,586,387,250,244,157,70376,286837200
"5","Petersburg Census Area, AK",62.1,12.6,14.8,10.5,314296,"Petersburg, Alaska","Alaska","Petersburg",3.32,9.48,16.26,24.83,46.11,18.34,0.37,1.01,0.97,0.9,2.28,2.49,1284,59,83,75,50,49,26,39,35,48,106,133,173,157,78,120,53,67935,107013600
"6","Prince of Wales-Hyder Census Area, AK",57.5,13.4,17,12.1,271472,"Prince, Alaska","Alaska","Prince",3.94,9.16,15.31,25.7,45.9,16.67,0.44,0.52,0.67,0.78,1.65,1.34,2268,155,92,192,137,128,139,115,102,113,144,199,270,220,118,99,45,48523,144434200
"7","Hoonah-Angoon Census Area, AK",50.6,11.6,17.5,20.3,355899,"Hoonah, Alaska","Alaska","Hoonah",4.44,9.72,16.16,24.88,44.8,15.34,0.72,1.07,1.1,0.82,2.54,1.11,892,39,41,50,60,45,75,29,52,25,67,87,152,56,29,61,24,52419,59891000
"8","Nome, AK",64.1,14.7,12.4,8.8,227519,"Nome, Alaska","Alaska","Nome",3.61,9.15,15.14,24.95,47.16,16.61,0.37,0.47,0.52,0.74,1.27,1.11,2925,224,155,133,188,202,204,132,108,150,221,215,391,205,149,166,82,48868,189586200
"9","North Slope, AK",71.8,10.9,11.8,5.6,267562,"North, Alaska","Alaska","North",4,9.87,16.53,25.68,43.93,15.2,0.72,0.95,0.97,0.95,2.31,1.27,1962,93,65,63,61,64,90,92,138,31,118,198,246,249,121,180,153,72576,173436100
"10","Yukon Koyukuk, AK",65.6,13.8,14.4,6.2,163088,"Yukon, Alaska","Alaska","Yukon",3.41,8.2,14.92,25.12,48.34,17.32,0.24,0.37,0.51,0.54,0.98,0.81,1982,202,162,184,152,116,101,109,67,86,148,170,203,129,67,65,21,38491,104046700
"11","Valdez Cordova, AK",68,10.7,13,8.2,342346,"Valdez, Alaska","Alaska","Valdez",3.22,9.87,17.5,24.96,44.46,15.83,0.64,1.49,1.09,1.19,2.8,1.4,3010,181,77,183,142,79,93,89,76,69,184,247,495,435,210,196,254,78810,267405300
