"","COUNTY","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","Dillingham, Alaska",0,0.0704225352112676,0.114158636026686,0.17939214232765,0.2,0.235730170496664,0.284655300222387,0.320978502594514,0.371386212008895,0.4,0.415122312824314,0.452186805040771,0.561897702001483,0.6,0.664195700518903,0.765011119347665,0.8,0.850259451445515,0.902891030392884,0.95,0.99,1,NA
"2","Haines, Alaska",0,0.0442176870748299,0.0663265306122449,0.11734693877551,0.13265306122449,0.187925170068027,0.2,0.273809523809524,0.329081632653061,0.395408163265306,0.4,0.444727891156463,0.521258503401361,0.6,0.623299319727891,0.750850340136054,0.8,0.852891156462585,0.897108843537415,0.932823129251701,0.95,0.99,1
"3","Ketchikan, Alaska",0,0.0313271311942282,0.0765141446743877,0.10955002847921,0.15606607176761,0.2,0.202202392253655,0.247199544332637,0.305486994494019,0.343079551927093,0.387507119802544,0.4,0.477691285361686,0.567685589519651,0.6,0.714068729827226,0.8,0.829884184545282,0.887222327700778,0.949117144484526,0.95,0.99,1
"4","Sitka, Alaska",0,0.0552995391705069,0.0858294930875576,0.118951612903226,0.147753456221198,0.185195852534562,0.2,0.217741935483871,0.253744239631336,0.277937788018433,0.328341013824885,0.391129032258065,0.4,0.532258064516129,0.6,0.701036866359447,0.8,0.8125,0.884504608294931,0.95,0.99,1,NA
"5","Petersburg, Alaska",0,0.0459501557632399,0.110591900311526,0.169003115264797,0.2,0.207943925233645,0.246105919003115,0.266355140186916,0.296728971962617,0.32398753894081,0.361370716510903,0.4,0.44392523364486,0.547507788161994,0.6,0.682242990654206,0.8,0.804517133956386,0.865264797507788,0.95,0.99,1,NA
"6","Prince, Alaska",0,0.068342151675485,0.108906525573192,0.193562610229277,0.2,0.253968253968254,0.310405643738977,0.371693121693122,0.4,0.422398589065256,0.467372134038801,0.517195767195767,0.580687830687831,0.6,0.668430335097002,0.787477954144621,0.8,0.884479717813051,0.936507936507937,0.95,0.99,1,NA
"7","Hoonah, Alaska",0,0.0437219730941704,0.0896860986547085,0.145739910313901,0.2,0.213004484304933,0.263452914798206,0.347533632286996,0.380044843049327,0.4,0.438340807174888,0.466367713004484,0.541479820627803,0.6,0.639013452914798,0.8,0.809417040358744,0.87219730941704,0.904708520179372,0.95,0.99,1,NA
"8","Nome, Alaska",0,0.0765811965811966,0.12957264957265,0.175042735042735,0.2,0.239316239316239,0.308376068376068,0.378119658119658,0.4,0.423247863247863,0.46017094017094,0.511452991452992,0.587008547008547,0.6,0.660512820512821,0.794188034188034,0.8,0.864273504273504,0.915213675213675,0.95,0.99,1,NA
"9","North, Alaska",0,0.0474006116207951,0.0805300713557594,0.112640163098879,0.143730886850153,0.176350662589195,0.2,0.222222222222222,0.269113149847095,0.339449541284404,0.355249745158002,0.4,0.41539245667686,0.516309887869521,0.6,0.641692150866463,0.768603465851172,0.8,0.830275229357798,0.922018348623853,0.95,0.99,1
"10","Yukon, Alaska",0,0.101917255297679,0.183652875882947,0.2,0.27648839556004,0.353178607467205,0.4,0.411705348133199,0.462663975782038,0.51765893037336,0.55146316851665,0.594853683148335,0.6,0.669525731584258,0.755297679112008,0.8,0.857719475277497,0.922805247225025,0.95,0.99,1,NA,NA
"11","Valdez, Alaska",0,0.0601328903654485,0.0857142857142857,0.146511627906977,0.193687707641196,0.2,0.219933554817276,0.250830564784053,0.280398671096346,0.305647840531561,0.328571428571429,0.389700996677741,0.4,0.471760797342193,0.6,0.636212624584718,0.780730897009967,0.8,0.850498338870432,0.915614617940199,0.95,0.99,1
"12","Matanuska, Alaska",0,0.0434111518425622,0.0817737475078783,0.12148691234163,0.159238536240273,0.189883593800244,0.2,0.226220335712908,0.265226059553669,0.300758891247026,0.332272171843848,0.4,0.401119043025275,0.51559585825455,0.6,0.677310437970287,0.795388770982057,0.8,0.873496687889896,0.95,0.99,1,NA
"13","Kodiak, Alaska",0,0.0325540747214333,0.0747214332532226,0.111208214987983,0.14572864321608,0.190299322700459,0.2,0.239021192921127,0.270919816473673,0.317456849464715,0.358750273104654,0.4,0.428665064452698,0.530478479353288,0.6,0.686912824994538,0.8,0.824120603015075,0.885514529167577,0.949748743718593,0.95,0.99,1
"14","Fairbanks, Alaska",0,0.0330785228486313,0.0675903546737114,0.100387836546568,0.141419819009612,0.171434995222303,0.2,0.209600359732449,0.250829070878534,0.303945815299871,0.336687088977573,0.4,0.415041313023439,0.535523579337867,0.6,0.689000056208195,0.786296442021247,0.8,0.862149401382722,0.95,0.99,1,NA
"15","Northwest, Alaska",0,0.0541250656857593,0.092485549132948,0.127167630057803,0.174461376773516,0.2,0.219127693116132,0.271676300578035,0.307934839726747,0.353126642143983,0.380977404098791,0.4,0.464004203888597,0.579611140304782,0.6,0.700998423541776,0.8,0.810299527062533,0.872832369942196,0.95,0.99,1,NA
"16","Aleutians, Alaska",0,0.0333919156414763,0.0641476274165202,0.0843585237258348,0.101933216168717,0.135325131810193,0.167838312829525,0.199472759226714,0.2,0.251318101933216,0.28207381370826,0.34182776801406,0.4,0.422671353251318,0.6,0.62829525483304,0.74780316344464,0.8,0.820738137082601,0.927943760984183,0.95,0.99,1
"17","Anchorage, Alaska",0,0.0291228904207274,0.0554599477062039,0.0850202044212028,0.1178416924174,0.148067506536725,0.181820774898978,0.2,0.218473971951509,0.265994770620395,0.301316852864274,0.371038744948895,0.4,0.477527929641074,0.6,0.621792251010221,0.745272165438555,0.8,0.825823627287854,0.920941288328975,0.95,0.99,1
"18","Wrangell, Alaska",0,0.0505767524401065,0.118899733806566,0.16681455190772,0.2,0.259982253771074,0.318544809228039,0.357586512866016,0.395740905057675,0.4,0.463176574977817,0.508429458740018,0.587400177462289,0.6,0.682342502218279,0.8,0.826086956521739,0.905944986690328,0.932564330079858,0.95,0.99,1,NA
"19","Kenai, Alaska",0,0.0499418198743309,0.100349080754014,0.145124505468932,0.195578310449151,0.2,0.234721898999302,0.280381661624389,0.325482895043053,0.362066558063765,0.389248312776356,0.4,0.465394461252036,0.581475447986968,0.6,0.728322085175704,0.8,0.829183151035606,0.894856876890854,0.95,0.99,1,NA
"20","Bethel, Alaska",0,0.0568181818181818,0.113413547237077,0.171122994652406,0.2,0.231729055258467,0.286319073083779,0.34024064171123,0.385918003565062,0.4,0.432040998217469,0.489081996434938,0.564393939393939,0.6,0.677139037433155,0.793449197860963,0.8,0.869429590017825,0.913992869875223,0.95,0.99,1,NA
"21","Juneau, Alaska",0,0.0321941555225359,0.0564635958395245,0.0714875350833746,0.0971603103846789,0.122833085685983,0.153293709757306,0.176490011556876,0.2,0.208849265312861,0.230972428595014,0.302542512795113,0.4,0.419349512960211,0.6,0.600792471520555,0.732788509162952,0.8,0.839441967970943,0.923972263496781,0.95,0.99,1
"22","Southeast, Alaska",0,0.0519603212092584,0.106754841757204,0.147378365611715,0.2,0.201228153046764,0.247992442135097,0.290505432215399,0.32687765706188,0.358053849787435,0.395370807746812,0.4,0.493623051487955,0.57628719886632,0.6,0.769012753897024,0.8,0.847425602267359,0.89891355692017,0.95,0.99,1,NA
"23","Tallapoosa County, Alabama",0,0.110212583471176,0.186301537707529,0.2,0.267107762053544,0.335416283771366,0.398272376401397,0.4,0.453531826257428,0.509281382098879,0.553329657538443,0.6,0.600441095386877,0.679960791521167,0.778655884334987,0.8,0.881945720762115,0.938369172333517,0.95,0.99,1,NA,NA
"24","Shelby County, Alabama",0,0.0381020467603993,0.0689093653189292,0.106653957158366,0.150051632377472,0.194707019355522,0.2,0.236158551116054,0.271626022718246,0.317088993036249,0.350808907247068,0.4,0.425675854582043,0.532382768024995,0.6,0.6909074059364,0.795257764715228,0.8,0.865543993433421,0.938848730373077,0.95,0.99,1
"25","Lauderdale County, Alabama",0,0.0972754584067129,0.171915466694292,0.2,0.235522635450119,0.299026209468559,0.354294001864705,0.4,0.413291204806796,0.461592251113643,0.520356365896612,0.565161089816637,0.6,0.655935978452295,0.758339376359681,0.8,0.861934113747022,0.916839324562312,0.95,0.99,1,NA,NA
"26","Cherokee County, Alabama",0,0.103032452562511,0.188951941833658,0.2,0.25607377194538,0.340574569959213,0.4,0.415853874800497,0.479872317786842,0.550718212449016,0.594608973222203,0.6,0.638322397588225,0.712626352190105,0.789679021103032,0.8,0.895282851569427,0.942897676893066,0.95,0.99,1,NA,NA
"27","Hale County, Alabama",0,0.158090096170069,0.2,0.246499072043192,0.318542264214611,0.391766492323266,0.4,0.466171756369158,0.531466171756369,0.586974860806479,0.6,0.636072211911591,0.681963894044204,0.761936898937068,0.8,0.830943141555593,0.911253585287667,0.946853382824363,0.95,0.99,1,NA,NA
"28","Pickens County, Alabama",0,0.172553636839351,0.2,0.269099947671376,0.341967556253271,0.4,0.422815279958137,0.495944531658817,0.545002616431188,0.59850863422292,0.6,0.655808477237049,0.679094714809001,0.767268445839874,0.8,0.83320251177394,0.91548927263213,0.95,0.99,1,NA,NA,NA
"29","Etowah County, Alabama",0,0.0880974460512795,0.168600716809945,0.2,0.255269555627961,0.342163964009123,0.4,0.403844707887416,0.45582596055039,0.506478859119276,0.550364670793754,0.587358079149853,0.6,0.676357803453721,0.780345372064463,0.8,0.887465851274468,0.943532419358881,0.95,0.99,1,NA,NA
"30","Sumter County, Alabama",0,0.2,0.245482866043614,0.4,0.415991692627207,0.506957424714434,0.585877466251298,0.6,0.634267912772586,0.666251298026999,0.704672897196262,0.758670820353063,0.78920041536864,0.8,0.836760124610592,0.892004153686397,0.95,0.99,1,NA,NA,NA,NA
"31","Escambia County, Alabama",0,0.123801156746468,0.2,0.235961637015887,0.321473021451058,0.4,0.409986089757669,0.455230983234497,0.524123288674134,0.575737608902555,0.6,0.63196427264075,0.667252361080606,0.740171315616077,0.8,0.827805842301779,0.904678234131342,0.95,0.99,1,NA,NA,NA
"32","Franklin County, Alabama",0,0.095575959933222,0.176126878130217,0.2,0.25550918196995,0.350584307178631,0.4,0.415191986644407,0.495909849749583,0.552253756260434,0.6,0.601168614357262,0.656427378964942,0.724457429048414,0.8,0.813856427378965,0.912353923205342,0.95,0.99,1,NA,NA,NA
"33","Houston County, Alabama",0,0.0923795188407276,0.166543357910044,0.2,0.237671250350792,0.29836467076562,0.35967038293747,0.4,0.422328239406077,0.482536928846595,0.532362170574279,0.578947368421053,0.6,0.657320713319897,0.747633747480675,0.8,0.851825394800622,0.909482868586882,0.940327065846876,0.95,0.99,1,NA
"34","Chilton County, Alabama",0,0.0921968343905894,0.159635400628195,0.2,0.213155139496212,0.285028022417934,0.353205641436226,0.4,0.42206072550348,0.479398903738375,0.542033626901521,0.578986265935826,0.6,0.654862351419597,0.759992609472193,0.8,0.874545790478537,0.928619818932069,0.95,0.99,1,NA,NA
"35","Colbert County, Alabama",0,0.103494865789948,0.167177085209872,0.2,0.235092776076383,0.307061790668348,0.380787245541344,0.4,0.438794811745631,0.495406233111151,0.54008286795172,0.584669428931724,0.6,0.667402269861286,0.763601152945415,0.8,0.883174202846334,0.940731399747793,0.95,0.99,1,NA,NA
"36","Randolph County, Alabama",0,0.136511497476164,0.2,0.240605720695457,0.283118339876612,0.3614133482894,0.4,0.421424565339316,0.47807066741447,0.532249018508132,0.585754346606842,0.6,0.635894559730791,0.732697700504767,0.8,0.835445877734156,0.916881660123388,0.95,0.99,1,NA,NA,NA
