GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD38E001,AD38E002,AD38E003,AD38E004,AD38E005,AD39E001,AD39E002,AD39E003,AD39E004,AD39E005,AD39E006,AD4AE001,AD4AE002,AD4AE003,AD4AE004,AD4AE005,AD4AE006,AD4BE001,NAME_M,AD38M001,AD38M002,AD38M003,AD38M004,AD38M005,AD39M001,AD39M002,AD39M003,AD39M004,AD39M005,AD39M006,AD4AM001,AD4AM002,AD4AM003,AD4AM004,AD4AM005,AD4AM006,AD4BM001
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",22695,40531,63889,97896,156000,12497,32198,51293,79504,148331,239836,3.87,9.94,15.84,24.55,45.80,18.51,0.4227,"Autauga County, Alabama",2540,2175,3195,5060,14195,1295,2001,2853,3482,9533,29182,0.36,0.52,0.64,0.81,1.63,1.80,0.0175
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",22065,40060,62015,99839,181609,12456,30504,50248,79004,168633,284964,3.66,8.95,14.74,23.18,49.47,20.90,0.4564,"Baldwin County, Alabama",943,1397,2073,3063,9381,741,1141,1345,2303,6388,18056,0.23,0.33,0.34,0.39,0.94,1.03,0.0108
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",12766,24771,41178,71011,121380,7223,18337,32953,53744,111183,167093,3.23,8.21,14.75,24.05,49.76,18.70,0.4642,"Barbour County, Alabama",1153,1845,2180,4907,10430,986,1230,1843,3178,6372,13947,0.43,0.51,0.63,0.70,1.26,1.15,0.0150
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",18287,32193,47745,78138,126421,10959,25464,38536,59609,126639,220556,4.20,9.75,14.75,22.82,48.48,21.11,0.4410,"Bibb County, Alabama",2014,2098,4142,7524,10651,1486,2368,2882,4467,21782,79303,0.65,1.01,1.47,1.98,4.42,6.00,0.0475
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",20679,35838,57441,83484,130563,11075,28044,45886,68469,120946,178137,4.04,10.22,16.72,24.95,44.07,16.23,0.4037,"Blount County, Alabama",1424,1776,2876,3935,6064,1191,1510,2365,2448,5748,15139,0.41,0.44,0.54,0.54,1.25,1.14,0.0145
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10544,24887,42069,63721,119202,5607,17982,32897,51239,102011,173718,2.67,8.57,15.68,24.43,48.64,20.71,0.4648,"Bullock County, Alabama",2184,3542,3921,5879,28793,1996,3629,5475,4988,18519,51777,0.82,1.31,1.92,2.10,4.17,4.18,0.0414
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",14026,24918,40969,68308,116233,8131,19049,32542,53148,106990,164925,3.70,8.66,14.80,24.17,48.66,18.75,0.4506,"Butler County, Alabama",1088,1716,2998,4435,6337,849,1279,1810,2709,6933,18550,0.38,0.53,0.67,0.75,1.71,1.61,0.0184
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",16369,32368,51632,79864,136690,9133,24105,41663,63889,128495,203488,3.42,9.02,15.59,23.90,48.07,19.03,0.4464,"Calhoun County, Alabama",895,1110,1057,3390,4641,601,1019,1197,1669,4987,15462,0.21,0.35,0.36,0.48,0.98,1.17,0.0111
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",14919,27240,43263,71126,120663,8651,20320,34802,56003,127504,243086,3.50,8.22,14.07,22.65,51.56,24.57,0.4831,"Chambers County, Alabama",1005,2038,2567,3744,6324,1007,1429,1788,2842,16574,61542,0.45,0.71,1.01,1.53,3.34,4.68,0.0356
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",15777,28970,45655,76254,132192,9607,22417,36335,59304,125290,212012,3.80,8.86,14.36,23.44,49.53,20.95,0.4573,"Cherokee County, Alabama",1499,1816,3545,3716,10584,837,1627,2095,3990,13217,41790,0.34,0.68,0.75,1.21,2.32,3.04,0.0243
