Rank,County/state,Income threshold of top 1%
1,"Teton, WY",2216883
2,"New York, NY",1424582
3,"Fairfield, CT",1390965
4,"Mckenzie, ND",1381080
5,"Summit, UT",1206863
6,"Westchester, NY",1184603
7,"Pitkin, CO",1144624
8,"Marin, CA",1134183
9,"San Mateo, CA",1128182
10,"Williams, ND",1066541
11,"Mountrail, ND",1031455
12,"Goochland, VA",1021805
13,"Santa Clara, CA",979198
14,"Union, SD",963384
15,"Collier, FL",959229
16,"Somerset, NJ",956207
17,"Karnes, TX",948752
18,"Kendall, TX",929243
19,"Morris, NJ",914465
20,"Norfolk, MA",911597
21,"Dunn, ND",910131
22,"Williamson, TN",908206
23,"Lake, IL",896371
24,"San Francisco, CA",894792
25,"Midland, TX",892217
26,"Ozaukee, WI",867851
27,"Nassau, NY",850694
28,"Falls Church City, VA",840753
29,"De Witt, TX",838196
30,"Hemphill, TX",810012
31,"Middlesex, MA",797539
32,"Bergen, NJ",795165
33,"Blaine, ID",792410
34,"Hunterdon, NJ",790664
35,"Monroe, FL",773711
36,"Fairfax, VA",769142
37,"Nantucket, MA",757427
38,"Montgomery, PA",751748
39,"Boone, IN",746284
40,"Fulton, GA",742437
41,"Chester, PA",740248
42,"Montgomery, MD",737775
43,"Hamilton, IN",735386
44,"Montgomery, TX",727171
45,"Lincoln, SD",721194
46,"Douglas, CO",707449
47,"La Salle, TX",704185
48,"Essex, NJ",699224
49,"St Johns, FL",694529
50,"Bristol, RI",691752
51,"Boulder, CO",683648
52,"Delaware, OH",683310
53,"Monmouth, NJ",683105
54,"King, WA",680801
55,"Eagle, CO",680688
56,"Arlington, VA",677996
57,"Palm Beach, FL",677560
58,"Albemarle, VA",677292
59,"Martin, FL",675559
60,"Divide, ND",675077
61,"Stark, ND",674032
62,"San Miguel, CO",670206
63,"Johnson, KS",669398
64,"San Juan, WA",665650
65,"Fort Bend, TX",661819
66,"Carver, MN",658360
67,"Contra Costa, CA",657918
68,"Mercer, NJ",645399
69,"Alfalfa, OK",644514
70,"Du Page, IL",642107
71,"Benton, AR",641936
72,"Hennepin, MN",641162
73,"Collin, TX",639441
74,"Travis, TX",638215
75,"Geauga, OH",632030
76,"Martin, TX",631355
77,"Union, NJ",628866
78,"Oconee, GA",628137
79,"Orange, NC",624718
80,"Alexandria City, VA",624198
81,"Loudoun, VA",622975
82,"Indian River, FL",617382
83,"Routt, CO",616365
84,"Dallas, IA",612406
85,"St Louis, MO",608753
86,"Oakland, MI",603270
87,"Harris, TX",602494
88,"Sublette, WY",599146
89,"Oldham, KY",597937
90,"Bucks, PA",595563
91,"Suffolk, MA",595338
92,"Howard, MD",594031
93,"Waukesha, WI",592949
94,"Madison, MS",587529
95,"Shackelford, TX",584175
96,"Orange, CA",583022
97,"Roger Mills, OK",581826
98,"Richland, MT",580144
99,"Fauquier, VA",578079
100,"Rockland, NY",577337
101,"Suffolk, NY",576043
102,"Dukes, MA",571352
103,"District of Columbia, DC",565074
104,"Lipscomb, TX",563142
105,"Rappahannock, VA",559814
106,"Talbot, MD",559658
107,"Essex, MA",558747
108,"Delaware, PA",555878
109,"Douglas, NV",553891
110,"Napa, CA",552799
111,"Live Oak, TX",551265
112,"Walton, FL",551064
113,"Rockwall, TX",548073
114,"Washington, MN",546445
115,"Summit, CO",545931
116,"Denver, CO",544587
117,"Ochiltree, TX",540897
118,"Reagan, TX",540646
119,"Forsyth, GA",540419
120,"Plymouth, MA",540054
121,"Mecklenburg, NC",538569
122,"Wheeler, TX",538458
123,"Comal, TX",537542
124,"Scott, MN",532060
125,"Arapahoe, CO",529937
126,"Greene, GA",528178
127,"Fallon, MT",522637
128,"Rockingham, NH",519210
129,"Grafton, NH",518289
130,"James City, VA",516995
131,"Putnam, NY",516285
132,"Beaufort, SC",514068
133,"Charlottesville City, VA",513437
134,"Cass, ND",513340
135,"Alameda, CA",512906
136,"Sarasota, FL",511925
137,"Dallas, TX",511728
138,"Woods, OK",509224
139,"Charleston, SC",509126
140,"Cook, IL",508193
141,"Morgan, UT",505909
142,"Saratoga, NY",505353
143,"Monroe, OH",504775
144,"Park, WY",502705
145,"Natrona, WY",501785
146,"Fayette, GA",500729
147,"Gillespie, TX",499989
148,"Santa Barbara, CA",499025
149,"Wasatch, UT",498967
150,"Burleigh, ND",496742
151,"Parker, TX",496566
152,"Lafayette, LA",496220
153,"Austin, TX",495867
154,"Fairfax City, VA",493677
155,"Ventura, CA",491927
156,"Denton, TX",490650
157,"Santa Cruz, CA",487982
158,"Anchorage, AK",487626
159,"Gonzales, TX",486820
160,"Union, NC",485335
161,"Los Angeles, CA",485197
